Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.86,,2019-04-03 16:19:26,2019-04-03 16:19:44,"17,630s",PASSED
,,,,,,
Test Cases/Test - 1 By Tom,Chrome 73.0.3683.86,,2019-04-03 16:19:26,2019-04-03 16:19:37,"10,330s",PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 16:19:27,2019-04-03 16:19:31,"3,989s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 73.0.3683.86,,2019-04-03 16:19:31,2019-04-03 16:19:36,"5,163s",PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:19:36,2019-04-03 16:19:37,"0,633s",PASSED
,,,,,,
Test Cases/Test Case 991,Chrome 73.0.3683.86,Using Branch,2019-04-03 16:19:37,2019-04-03 16:19:44,"6,988s",PASSED
"openBrowser(""https://www.katalon.com"")",Chrome 73.0.3683.86,,2019-04-03 16:19:37,2019-04-03 16:19:43,"6,074s",PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-03 16:19:43,2019-04-03 16:19:44,"0,591s",PASSED
